wards,parentCode,placeCode,glofasStation
Tirioko,KE030157,KE0301570781,no_station
Kollowa,KE030157,KE0301570782,no_station
Ribkwo,KE030157,KE0301570783,no_station
Silale,KE030157,KE0301570784,no_station
Loiyamorok,KE030157,KE0301570785,no_station
Tangulbei/Korossi,KE030157,KE0301570786,no_station
Churo/Amaya,KE030157,KE0301570787,no_station
Barwessa,KE030158,KE0301580788,no_station
Kabartonjo,KE030158,KE0301580789,no_station
Saimo/Kipsaram,KE030158,KE0301580790,no_station
Saimo/Soi,KE030158,KE0301580791,no_station
Bartabwa,KE030158,KE0301580792,no_station
Kabarnet,KE030159,KE0301590793,no_station
Sacho,KE030159,KE0301590794,no_station
Tenges,KE030159,KE0301590795,no_station
Ewalel/Chapchap,KE030159,KE0301590796,no_station
Kapropita,KE030159,KE0301590797,no_station
Marigat,KE030160,KE0301600798,no_station
Ilchamus,KE030160,KE0301600799,no_station
Mochongoi,KE030160,KE0301600800,no_station
Mukutan,KE030160,KE0301600801,no_station
Mogotio,KE030161,KE0301610802,no_station
Emining,KE030161,KE0301610803,no_station
Kisanana,KE030161,KE0301610804,no_station
Lembus,KE030162,KE0301620805,no_station
Lembus Kwen,KE030162,KE0301620806,no_station
Ravine,KE030162,KE0301620807,no_station
Mumberes/Maji Mazuri,KE030162,KE0301620808,no_station
Lembus/Perkerra,KE030162,KE0301620809,no_station
Koibatek,KE030162,KE0301620810,no_station
Ndanai/Abosi,KE036194,KE0361940966,no_station
Chemagel,KE036194,KE0361940967,no_station
Kipsonoi,KE036194,KE0361940968,no_station
Kapletundo,KE036194,KE0361940969,no_station
Rongena/Chebilat,KE036194,KE0361940970,no_station
Kong'asis,KE036195,KE0361950971,no_station
Nyangores,KE036195,KE0361950972,no_station
Sigor,KE036195,KE0361950973,no_station
Chebunyo,KE036195,KE0361950974,no_station
Siongiroi,KE036195,KE0361950975,no_station
Merigi,KE036196,KE0361960976,no_station
Kembu,KE036196,KE0361960977,no_station
Longisa,KE036196,KE0361960978,no_station
Kipreres,KE036196,KE0361960979,no_station
Chemaner,KE036196,KE0361960980,no_station
Silibwet Township,KE036197,KE0361970981,no_station
Ndaraweta,KE036197,KE0361970982,no_station
Sigorwet,KE036197,KE0361970983,no_station
Cheseon,KE036197,KE0361970984,no_station
Mutarakwa,KE036197,KE0361970985,no_station
Chepchabas,KE036198,KE0361980986,no_station
Kimulot,KE036198,KE0361980987,no_station
Mogogosieki,KE036198,KE0361980988,no_station
Boito,KE036198,KE0361980989,no_station
Embomos,KE036198,KE0361980990,no_station
Cheptais,KE039216,KE0392161076,no_station
Chesikaki,KE039216,KE0392161077,no_station
Chepyuk,KE039216,KE0392161078,no_station
Kapkateny,KE039216,KE0392161079,no_station
Kaptama,KE039216,KE0392161080,no_station
Elgon,KE039216,KE0392161081,no_station
Namwela,KE039217,KE0392171082,no_station
Malakisi/South Kulisiru,KE039217,KE0392171083,no_station
Lwandanyi,KE039217,KE0392171084,no_station
Kabuchai/Chwele,KE039218,KE0392181085,no_station
West Nalondo,KE039218,KE0392181086,no_station
Bwake/Luuya,KE039218,KE0392181087,no_station
Mukuyuni,KE039218,KE0392181088,no_station
South Bukusu,KE039219,KE0392191089,no_station
Bumula,KE039219,KE0392191090,no_station
Khasoko,KE039219,KE0392191091,no_station
Kabula,KE039219,KE0392191092,no_station
Kimaeti,KE039219,KE0392191093,no_station
West Bukusu,KE039219,KE0392191094,no_station
Siboti,KE039219,KE0392191095,no_station
Bukembe West,KE039220,KE0392201096,no_station
Bukembe East,KE039220,KE0392201097,no_station
Township,KE039220,KE0392201098,no_station
Khalaba,KE039220,KE0392201099,no_station
Musikoma,KE039220,KE0392201100,no_station
East Sang'alo,KE039220,KE0392201101,no_station
Marakary/Tuuti,KE039220,KE0392201102,no_station
West Sang'alo,KE039220,KE0392201103,no_station
Mihuu,KE039221,KE0392211104,no_station
Ndivisi,KE039221,KE0392211105,no_station
Maraka,KE039221,KE0392211106,no_station
Misikhu,KE039222,KE0392221107,no_station
Sitikho,KE039222,KE0392221108,G5195
Matulo,KE039222,KE0392221109,no_station
Bokoli,KE039222,KE0392221110,no_station
Kibingei,KE039223,KE0392231111,no_station
Kimilili,KE039223,KE0392231112,no_station
Maeni,KE039223,KE0392231113,no_station
Kamukuywa,KE039223,KE0392231114,no_station
Mbakalo,KE039224,KE0392241115,no_station
Naitiri/Kabuyefwe,KE039224,KE0392241116,no_station
Milima,KE039224,KE0392241117,no_station
Ndalu,KE039224,KE0392241118,no_station
Tongaren,KE039224,KE0392241119,no_station
Soysambu/Mitua,KE039224,KE0392241120,no_station
Malaba Central,KE040225,KE0402251121,no_station
Malaba North,KE040225,KE0402251122,no_station
Ang'urai South,KE040225,KE0402251123,no_station
Ang'urai North,KE040225,KE0402251124,no_station
Ang'urai East,KE040225,KE0402251125,no_station
Malaba South,KE040225,KE0402251126,no_station
Angorom,KE040226,KE0402261127,no_station
Chakol South,KE040226,KE0402261128,no_station
Chakol North,KE040226,KE0402261129,no_station
Amukura West,KE040226,KE0402261130,no_station
Amukura East,KE040226,KE0402261131,no_station
Amukura Central,KE040226,KE0402261132,no_station
Nambale,KE040227,KE0402271133,no_station
Bukhayo North/Walatsi,KE040227,KE0402271134,no_station
Bukhayo East,KE040227,KE0402271135,no_station
Bukhayo Central,KE040227,KE0402271136,no_station
Bukhayo West,KE040228,KE0402281137,no_station
Mayenje,KE040228,KE0402281138,no_station
Matayos South,KE040228,KE0402281139,no_station
Busibwabo,KE040228,KE0402281140,no_station
Burumba,KE040228,KE0402281141,no_station
Marachi West,KE040229,KE0402291142,no_station
Kingandole,KE040229,KE0402291143,no_station
Marachi Central,KE040229,KE0402291144,no_station
Marachi East,KE040229,KE0402291145,no_station
Marachi North,KE040229,KE0402291146,no_station
Elugulu,KE040229,KE0402291147,no_station
Namboboto/Nambuku,KE040230,KE0402301148,no_station
Nangina,KE040230,KE0402301149,G5195
Ageng'a Nanguba,KE040230,KE0402301150,G5195
Bwiri,KE040230,KE0402301151,G5195
Bunyala Central,KE040231,KE0402311152,no_station
Bunyala North,KE040231,KE0402311153,G5195
Bunyala West,KE040231,KE0402311154,G5195
Bunyala South,KE040231,KE0402311155,G5195
Kapyego,KE028147,KE0281470731,no_station
Sambirir,KE028147,KE0281470732,no_station
Endo,KE028147,KE0281470733,no_station
Embobut/Embulot,KE028147,KE0281470734,no_station
Lelan,KE028148,KE0281480735,no_station
Sengwer,KE028148,KE0281480736,no_station
Cheragany/Chebororwa,KE028148,KE0281480737,no_station
Moiben/Kuserwo,KE028148,KE0281480738,no_station
Kapsowar,KE028148,KE0281480739,no_station
Arror,KE028148,KE0281480740,no_station
Kimariny,KE028149,KE0281490741,no_station
Emsoo,KE028149,KE0281490742,no_station
Tambach,KE028149,KE0281490743,no_station
Kapchemutwa,KE028149,KE0281490744,no_station
Kaptarakwa,KE028150,KE0281500745,no_station
Chepkorio,KE028150,KE0281500746,no_station
Soy North,KE028150,KE0281500747,no_station
Soy South,KE028150,KE0281500748,no_station
Kabiemit,KE028150,KE0281500749,no_station
Metkei,KE028150,KE0281500750,no_station
Ruguru-Ngandori,KE014063,KE0140630311,no_station
Kithimu,KE014063,KE0140630312,no_station
Nginda,KE014063,KE0140630313,no_station
Mbeti North,KE014063,KE0140630314,no_station
Kirimani,KE014063,KE0140630315,no_station
Gaturi South,KE014063,KE0140630316,no_station
Gaturi North,KE014064,KE0140640317,no_station
Kagaari South,KE014064,KE0140640318,no_station
Central,KE014064,KE0140640319,no_station
Kagaari North,KE014064,KE0140640320,no_station
Kyeni North East,KE014064,KE0140640321,no_station
Kyeni South,KE014064,KE0140640322,no_station
Mwea,KE014065,KE0140650323,no_station
Makima,KE014065,KE0140650324,no_station
Mbeti South,KE014065,KE0140650325,no_station
Mavuria,KE014065,KE0140650326,no_station
Kiambere,KE014065,KE0140650327,no_station
Nthawa,KE014066,KE0140660328,no_station
Muminji,KE014066,KE0140660329,no_station
Evurore,KE014066,KE0140660330,no_station
Township,KE007027,KE0070270131,no_station
Galbet,KE007027,KE0070270132,no_station
Township,KE007027,KE0070270133,no_station
Township,KE007027,KE0070270134,no_station
Balambala,KE007028,KE0070280135,no_station
Danyere,KE007028,KE0070280136,no_station
Jarajara,KE007028,KE0070280137,no_station
Saka,KE007028,KE0070280138,no_station
Sankuri,KE007028,KE0070280139,no_station
Modogashe,KE007029,KE0070290140,no_station
Benane,KE007029,KE0070290141,no_station
Goreale,KE007029,KE0070290142,no_station
Maalamin,KE007029,KE0070290143,no_station
Sabena,KE007029,KE0070290144,no_station
Baraki,KE007029,KE0070290145,no_station
Dertu,KE007030,KE0070300146,no_station
Dadaab,KE007030,KE0070300147,no_station
Labisigale,KE007030,KE0070300148,no_station
Damajale,KE007030,KE0070300149,no_station
Liboi,KE007030,KE0070300150,no_station
Abakaile,KE007030,KE0070300151,no_station
Bura,KE007031,KE0070310152,no_station
Dekaharia,KE007031,KE0070310153,no_station
Jarajila,KE007031,KE0070310154,no_station
Fafi,KE007031,KE0070310155,no_station
Nanighi,KE007031,KE0070310156,no_station
Hulugho,KE007032,KE0070320157,no_station
Sangailu,KE007032,KE0070320158,no_station
Ijara,KE007032,KE0070320159,no_station
Masalani,KE007032,KE0070320160,no_station
West Kasipul,KE043245,KE0432451221,no_station
South Kasipul,KE043245,KE0432451222,no_station
Central Kasipul,KE043245,KE0432451223,no_station
East Kamagak,KE043245,KE0432451224,no_station
West Kamagak,KE043245,KE0432451225,no_station
Kabondo East,KE043246,KE0432461226,no_station
Kabondo West,KE043246,KE0432461227,no_station
Kokwanyo/Kakelo,KE043246,KE0432461228,no_station
Kojwach,KE043246,KE0432461229,no_station
West Karachuonyo,KE043247,KE0432471230,no_station
North Karachuonyo,KE043247,KE0432471231,no_station
Central,KE043247,KE0432471232,no_station
Kanyaluo,KE043247,KE0432471233,no_station
Kibiri,KE043247,KE0432471234,no_station
Wang'chieng,KE043247,KE0432471235,no_station
Kendu Bay Town,KE043247,KE0432471236,no_station
West Gem,KE043248,KE0432481237,no_station
East Gem,KE043248,KE0432481238,no_station
Kagan,KE043248,KE0432481239,no_station
Kochia,KE043248,KE0432481240,no_station
Homa Bay Central,KE043249,KE0432491241,no_station
Homa Bay Arujo,KE043249,KE0432491242,no_station
Homa Bay West,KE043249,KE0432491243,no_station
Homa Bay East,KE043249,KE0432491244,no_station
Kwabwai,KE043250,KE0432501245,no_station
Kanyadoto,KE043250,KE0432501246,no_station
Kanyikela,KE043250,KE0432501247,no_station
Kabuoch North,KE043250,KE0432501248,no_station
Kabuoch/Pala,KE043250,KE0432501249,no_station
Kanyamwa Kologi,KE043250,KE0432501250,no_station
Kanyamwa Kosewe,KE043250,KE0432501251,no_station
Mfangano Island,KE043251,KE0432511252,no_station
Rusinga Island,KE043251,KE0432511253,no_station
Kasgunga,KE043251,KE0432511254,no_station
Gembe,KE043251,KE0432511255,no_station
Lambwe,KE043251,KE0432511256,no_station
Gwassi South,KE043252,KE0432521257,no_station
Gwassi North,KE043252,KE0432521258,no_station
Kaksingiri West,KE043252,KE0432521259,no_station
Kaksingiri East,KE043252,KE0432521260,no_station
Wabera,KE011049,KE0110490241,no_station
Bula Pesa,KE011049,KE0110490242,no_station
Chari,KE011049,KE0110490243,no_station
Cherab,KE011049,KE0110490244,no_station
Ngare Mara,KE011049,KE0110490245,no_station
Burat,KE011049,KE0110490246,no_station
Oldonyiro,KE011049,KE0110490247,no_station
Garbatulla,KE011050,KE0110500248,no_station
Kinna,KE011050,KE0110500249,no_station
Sericho,KE011050,KE0110500250,no_station
Olkeri,KE034183,KE0341830911,no_station
Ongat Rongai,KE034183,KE0341830912,no_station
Nkaimurunya,KE034183,KE0341830913,no_station
Oloolua,KE034183,KE0341830914,no_station
Ngong,KE034183,KE0341830915,no_station
Purko,KE034184,KE0341840916,no_station
Ildamat,KE034184,KE0341840917,no_station
Dalalekutuk,KE034184,KE0341840918,no_station
Matapato North,KE034184,KE0341840919,no_station
Matapato South,KE034184,KE0341840920,no_station
Kaputiei North,KE034185,KE0341850921,no_station
Kitengela,KE034185,KE0341850922,no_station
Oloosirkon/Sholinke,KE034185,KE0341850923,no_station
Kenyewa-Poka,KE034185,KE0341850924,no_station
Imaroro,KE034185,KE0341850925,no_station
Keekonyokie,KE034186,KE0341860926,no_station
Oloodokilan,KE034186,KE0341860927,no_station
Magadi,KE034186,KE0341860928,no_station
Ewuaso Kedong,KE034186,KE0341860929,no_station
Mosiro,KE034186,KE0341860930,no_station
Entonet/Lengism,KE034187,KE0341870931,no_station
Imbirikani/Esselengei,KE034187,KE0341870932,no_station
Kuku,KE034187,KE0341870933,no_station
Rombo,KE034187,KE0341870934,no_station
Kimana,KE034187,KE0341870935,no_station
Mautuma,KE037199,KE0371990991,no_station
Lugari,KE037199,KE0371990992,no_station
Lumakanda,KE037199,KE0371990993,no_station
Chekalini,KE037199,KE0371990994,no_station
Chevaywa,KE037199,KE0371990995,G5195
Luandeti,KE037199,KE0371990996,no_station
Likuyani,KE037200,KE0372000997,no_station
Sango,KE037200,KE0372000998,no_station
Kongoni,KE037200,KE0372000999,no_station
Nzoia,KE037200,KE0372001000,no_station
Sinoko,KE037200,KE0372001001,no_station
West Kabras,KE037201,KE0372011002,no_station
Chemuche,KE037201,KE0372011003,no_station
East Kabras,KE037201,KE0372011004,no_station
Butali/Chegulo,KE037201,KE0372011005,no_station
Manda/Shivanga,KE037201,KE0372011006,no_station
Shirugu/Mugai,KE037201,KE0372011007,no_station
South Kabras,KE037201,KE0372011008,no_station
Butsotso East,KE037202,KE0372021009,no_station
South Butsotso,KE037202,KE0372021010,no_station
Central Butsotso,KE037202,KE0372021011,no_station
Shieywe,KE037202,KE0372021012,no_station
Mahiakalo,KE037202,KE0372021013,no_station
Shirere,KE037202,KE0372021014,no_station
Ingotse-Matiha,KE037203,KE0372031015,no_station
Shinoyi-Shikomari-Esumeiya,KE037203,KE0372031016,no_station
Bunyala West,KE037203,KE0372031017,no_station
Bunyala East,KE037203,KE0372031018,no_station
Bunyala Central,KE037203,KE0372031019,no_station
Mumias Central,KE037204,KE0372041020,no_station
Mumias North,KE037204,KE0372041021,no_station
Etenje,KE037204,KE0372041022,no_station
Musanda,KE037204,KE0372041023,no_station
Lusheya/Lubinu,KE037205,KE0372051024,no_station
Malaha/Isongo/Makunga,KE037205,KE0372051025,no_station
East Wanga,KE037205,KE0372051026,no_station
Koyonzo,KE037206,KE0372061027,no_station
Kholera,KE037206,KE0372061028,no_station
Khalaba,KE037206,KE0372061029,no_station
Mayoni,KE037206,KE0372061030,no_station
Namamali,KE037206,KE0372061031,no_station
Marama West,KE037207,KE0372071032,no_station
Marama Central,KE037207,KE0372071033,no_station
Marenyo/Shianda,KE037207,KE0372071034,no_station
Marama North,KE037207,KE0372071035,no_station
Marama South,KE037207,KE0372071036,no_station
Kisa North,KE037208,KE0372081037,no_station
Kisa East,KE037208,KE0372081038,no_station
Kisa West,KE037208,KE0372081039,no_station
Kisa Central,KE037208,KE0372081040,no_station
Isukha North,KE037209,KE0372091041,no_station
Murhanda,KE037209,KE0372091042,no_station
Isukha Central,KE037209,KE0372091043,no_station
Isukha South,KE037209,KE0372091044,no_station
Isukha East,KE037209,KE0372091045,no_station
Isukha West,KE037209,KE0372091046,no_station
Idakho South,KE037210,KE0372101047,no_station
Idakho East,KE037210,KE0372101048,no_station
Idakho North,KE037210,KE0372101049,no_station
Idakho Central,KE037210,KE0372101050,no_station
Londiani,KE035188,KE0351880936,no_station
Kedowa/Kimugul,KE035188,KE0351880937,no_station
Chepseon,KE035188,KE0351880938,no_station
Tendeno/Sorget,KE035188,KE0351880939,no_station
Kunyak,KE035189,KE0351890940,no_station
Kamasian,KE035189,KE0351890941,no_station
Kipkelion,KE035189,KE0351890942,no_station
Chilchila,KE035189,KE0351890943,no_station
Kapsoit,KE035190,KE0351900944,no_station
Ainamoi,KE035190,KE0351900945,no_station
Kapkugerwet,KE035190,KE0351900946,no_station
Kipchebor,KE035190,KE0351900947,no_station
Kipchimchim,KE035190,KE0351900948,no_station
Kapsaos,KE035190,KE0351900949,no_station
Kisiara,KE035191,KE0351910950,no_station
Tebesonik,KE035191,KE0351910951,no_station
Cheboin,KE035191,KE0351910952,no_station
Chemosot,KE035191,KE0351910953,no_station
Litein,KE035191,KE0351910954,no_station
Cheplanget,KE035191,KE0351910955,no_station
Kapkatet,KE035191,KE0351910956,no_station
Waldai,KE035192,KE0351920957,no_station
Kabianga,KE035192,KE0351920958,no_station
Cheptororiet/Seretut,KE035192,KE0351920959,no_station
Chaik,KE035192,KE0351920960,no_station
Kapsuser,KE035192,KE0351920961,no_station
Sigowet,KE035193,KE0351930962,no_station
Kaplelartet,KE035193,KE0351930963,no_station
Soliat,KE035193,KE0351930964,no_station
Soin,KE035193,KE0351930965,no_station
Kiamwangi,KE022111,KE0221110551,no_station
Kiganjo,KE022111,KE0221110552,no_station
Ndarugu,KE022111,KE0221110553,no_station
Ngenda,KE022111,KE0221110554,no_station
Gituamba,KE022112,KE0221120555,no_station
Githobokoni,KE022112,KE0221120556,no_station
Chania,KE022112,KE0221120557,no_station
Mangu,KE022112,KE0221120558,no_station
Murera,KE022113,KE0221130559,no_station
Theta,KE022113,KE0221130560,no_station
Juja,KE022113,KE0221130561,no_station
Witeithie,KE022113,KE0221130562,no_station
Kalimoni,KE022113,KE0221130563,no_station
Township,KE022114,KE0221140564,no_station
Kamenu,KE022114,KE0221140565,no_station
Hospital,KE022114,KE0221140566,no_station
Gatuanyaga,KE022114,KE0221140567,no_station
Ngoliba,KE022114,KE0221140568,no_station
Gitothua,KE022115,KE0221150569,no_station
Biashara,KE022115,KE0221150570,no_station
Gatongora,KE022115,KE0221150571,no_station
Kahawa Sukari,KE022115,KE0221150572,no_station
Kahawa Wendani,KE022115,KE0221150573,no_station
Kiuu,KE022115,KE0221150574,no_station
Mwiki,KE022115,KE0221150575,no_station
Mwihoko,KE022115,KE0221150576,no_station
Githunguri,KE022116,KE0221160577,no_station
Githiga,KE022116,KE0221160578,no_station
Ikinu,KE022116,KE0221160579,no_station
Ngewa,KE022116,KE0221160580,no_station
Komothai,KE022116,KE0221160581,no_station
Ting'ang'a,KE022117,KE0221170582,no_station
Ndumberi,KE022117,KE0221170583,no_station
Riabai,KE022117,KE0221170584,no_station
Township,KE022117,KE0221170585,no_station
Cianda,KE022118,KE0221180586,no_station
Karuri,KE022118,KE0221180587,no_station
Nenderu,KE022118,KE0221180588,no_station
Muchatha,KE022118,KE0221180589,no_station
Kihara,KE022118,KE0221180590,no_station
Gitaru,KE022119,KE0221190591,no_station
Muguga,KE022119,KE0221190592,no_station
Nyathuna,KE022119,KE0221190593,no_station
Kabete,KE022119,KE0221190594,no_station
Uthiru,KE022119,KE0221190595,no_station
Karai,KE022120,KE0221200596,no_station
Nachu,KE022120,KE0221200597,no_station
Sigona,KE022120,KE0221200598,no_station
Kikuyu,KE022120,KE0221200599,no_station
Kinoo,KE022120,KE0221200600,no_station
Bibirioni,KE022121,KE0221210601,no_station
Limuru Central,KE022121,KE0221210602,no_station
Ndeiya,KE022121,KE0221210603,no_station
Limuru East,KE022121,KE0221210604,no_station
Ngecha/Tigoni,KE022121,KE0221210605,no_station
Kinale,KE022122,KE0221220606,no_station
Kijabe,KE022122,KE0221220607,no_station
Nyanduma,KE022122,KE0221220608,no_station
Kamburu,KE022122,KE0221220609,no_station
Lari/Kirenga,KE022122,KE0221220610,no_station
Tezo,KE003011,KE0030110051,no_station
Sokoni,KE003011,KE0030110052,no_station
Kibarani,KE003011,KE0030110053,no_station
Dabaso,KE003011,KE0030110054,no_station
Matsangoni,KE003011,KE0030110055,no_station
Watamu,KE003011,KE0030110056,no_station
Mnarani,KE003011,KE0030110057,no_station
Junju,KE003012,KE0030120058,no_station
Mwarakaya,KE003012,KE0030120059,no_station
Shimo La Tewa,KE003012,KE0030120060,no_station
Chasimba,KE003012,KE0030120061,no_station
Mtepeni,KE003012,KE0030120062,no_station
Mariakani,KE003013,KE0030130063,no_station
Kayafungo,KE003013,KE0030130064,no_station
Kaloleni,KE003013,KE0030130065,no_station
Mwanamwinga,KE003013,KE0030130066,no_station
Mwawesa,KE003014,KE0030140067,no_station
Ruruma,KE003014,KE0030140068,no_station
Kambe/Ribe,KE003014,KE0030140069,no_station
Rabai/Kisurutini,KE003014,KE0030140070,no_station
Ganze,KE003015,KE0030150071,no_station
Bamba,KE003015,KE0030150072,G5142
Jaribuni,KE003015,KE0030150073,no_station
Sokoke,KE003015,KE0030150074,G5142
Jilore,KE003016,KE0030160075,G5142
Kakuyuni,KE003016,KE0030160076,G5142
Ganda,KE003016,KE0030160077,no_station
Malindi Town,KE003016,KE0030160078,no_station
Shella,KE003016,KE0030160079,no_station
Marafa,KE003017,KE0030170080,G5142
Magarini,KE003017,KE0030170081,no_station
Gongoni,KE003017,KE0030170082,no_station
Adu,KE003017,KE0030170083,G5142
Garashi,KE003017,KE0030170084,G5142
Sabaki,KE003017,KE0030170085,no_station
Mutithi,KE020100,KE0201000496,no_station
Kangai,KE020100,KE0201000497,no_station
Thiba,KE020100,KE0201000498,no_station
Wamumu,KE020100,KE0201000499,no_station
Nyangati,KE020100,KE0201000500,no_station
Murinduko,KE020100,KE0201000501,no_station
Gathigiriri,KE020100,KE0201000502,no_station
Tebere,KE020100,KE0201000503,no_station
Kabare,KE020101,KE0201010504,no_station
Baragwi,KE020101,KE0201010505,no_station
Njuki-Ini,KE020101,KE0201010506,no_station
Ngariama,KE020101,KE0201010507,no_station
Karumandi,KE020101,KE0201010508,no_station
Mukure,KE020102,KE0201020509,no_station
Kiine,KE020102,KE0201020510,no_station
Kariti,KE020102,KE0201020511,no_station
Mutira,KE020103,KE0201030512,no_station
